2025-11-10 00:37:45,379 [DEBUG]   t=01  act=TRIO(idx=0)  LP:4000→4000  flags={'trio': True, 'zero': False, 'pill': False}
2025-11-10 00:37:45,379 [DEBUG]   t=02  act=ZERO(idx=1)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': False}
2025-11-10 00:37:45,380 [DEBUG]   t=03  act=PILL(idx=2)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': True}
2025-11-10 00:37:45,380 [DEBUG]   t=04  act=ATK(idx=3)  LP:4000→0  flags={'trio': True, 'zero': True, 'pill': True}
2025-11-10 00:37:45,380 [DEBUG]   t=01  act=TRIO(idx=0)  LP:4000→4000  flags={'trio': True, 'zero': False, 'pill': False}
2025-11-10 00:37:45,380 [DEBUG]   t=02  act=ZERO(idx=1)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': False}
2025-11-10 00:37:45,380 [DEBUG]   t=03  act=PILL(idx=2)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': True}
2025-11-10 00:37:45,380 [DEBUG]   t=04  act=ATK(idx=3)  LP:4000→0  flags={'trio': True, 'zero': True, 'pill': True}
2025-11-10 00:37:45,380 [DEBUG]   t=01  act=TRIO(idx=0)  LP:4000→4000  flags={'trio': True, 'zero': False, 'pill': False}
2025-11-10 00:37:45,380 [DEBUG]   t=02  act=ZERO(idx=1)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': False}
2025-11-10 00:37:45,380 [DEBUG]   t=03  act=PILL(idx=2)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': True}
2025-11-10 00:37:45,380 [DEBUG]   t=04  act=ATK(idx=3)  LP:4000→0  flags={'trio': True, 'zero': True, 'pill': True}
2025-11-10 00:37:45,380 [DEBUG]   t=01  act=TRIO(idx=0)  LP:4000→4000  flags={'trio': True, 'zero': False, 'pill': False}
2025-11-10 00:37:45,380 [DEBUG]   t=02  act=ZERO(idx=1)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': False}
2025-11-10 00:37:45,380 [DEBUG]   t=03  act=PILL(idx=2)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': True}
2025-11-10 00:37:45,380 [DEBUG]   t=04  act=ATK(idx=3)  LP:4000→0  flags={'trio': True, 'zero': True, 'pill': True}
2025-11-10 00:37:45,380 [DEBUG]   t=01  act=TRIO(idx=0)  LP:4000→4000  flags={'trio': True, 'zero': False, 'pill': False}
2025-11-10 00:37:45,380 [DEBUG]   t=02  act=ZERO(idx=1)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': False}
2025-11-10 00:37:45,380 [DEBUG]   t=03  act=PILL(idx=2)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': True}
2025-11-10 00:37:45,380 [DEBUG]   t=04  act=ATK(idx=3)  LP:4000→0  flags={'trio': True, 'zero': True, 'pill': True}
2025-11-10 00:37:45,380 [DEBUG]   t=01  act=TRIO(idx=0)  LP:4000→4000  flags={'trio': True, 'zero': False, 'pill': False}
2025-11-10 00:37:45,380 [DEBUG]   t=02  act=ZERO(idx=1)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': False}
2025-11-10 00:37:45,380 [DEBUG]   t=03  act=PILL(idx=2)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': True}
2025-11-10 00:37:45,380 [DEBUG]   t=04  act=ATK(idx=3)  LP:4000→0  flags={'trio': True, 'zero': True, 'pill': True}
2025-11-10 00:37:45,381 [DEBUG]   t=01  act=TRIO(idx=0)  LP:4000→4000  flags={'trio': True, 'zero': False, 'pill': False}
2025-11-10 00:37:45,381 [DEBUG]   t=02  act=ZERO(idx=1)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': False}
2025-11-10 00:37:45,381 [DEBUG]   t=03  act=PILL(idx=2)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': True}
2025-11-10 00:37:45,381 [DEBUG]   t=04  act=ATK(idx=3)  LP:4000→0  flags={'trio': True, 'zero': True, 'pill': True}
2025-11-10 00:37:45,381 [DEBUG]   t=01  act=TRIO(idx=0)  LP:4000→4000  flags={'trio': True, 'zero': False, 'pill': False}
2025-11-10 00:37:45,381 [DEBUG]   t=02  act=ZERO(idx=1)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': False}
2025-11-10 00:37:45,381 [DEBUG]   t=03  act=PILL(idx=2)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': True}
2025-11-10 00:37:45,381 [DEBUG]   t=04  act=ATK(idx=3)  LP:4000→0  flags={'trio': True, 'zero': True, 'pill': True}
2025-11-10 00:37:45,381 [DEBUG]   t=01  act=TRIO(idx=0)  LP:4000→4000  flags={'trio': True, 'zero': False, 'pill': False}
2025-11-10 00:37:45,381 [DEBUG]   t=02  act=ZERO(idx=1)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': False}
2025-11-10 00:37:45,381 [DEBUG]   t=03  act=PILL(idx=2)  LP:4000→4000  flags={'trio': True, 'zero': True, 'pill': True}
2025-11-10 00:37:45,381 [DEBUG]   t=04  act=ATK(idx=3)  LP:4000→0  flags={'trio': True, 'zero': True, 'pill': True}
